candidate_id,gender,race,age,education_years,experience_years,skill_score,interview_score,certification_count,project_count,gpa,hired
1,Male,White,47,18,23,57.37,84.56,5,3,3.23,1
2,Non-Binary,Black,31,21,11,71.42,86.32,2,14,3.38,1
3,Female,White,59,15,35,44.75,87.55,4,1,3.51,0
4,Female,White,35,14,13,47.06,63.1,0,6,2.27,0
5,Male,White,40,17,20,50.55,43.47,4,10,3.93,0
6,Male,White,51,20,30,86.48,36.98,2,2,3.69,1
7,Male,Hispanic,26,20,3,70.83,82.04,6,8,3.12,1
8,Female,White,52,15,29,40.63,92.04,3,6,3.78,0
9,Female,Other,28,21,7,80.41,75.56,7,7,2.76,1
10,Female,Other,40,16,21,65.42,40.09,6,8,2.07,0
11,Male,Black,52,20,32,70.65,95.44,0,7,3.45,1
12,Non-Binary,White,45,13,27,52.85,99.24,2,6,3.89,1
13,Female,White,55,13,31,73.11,60.34,5,14,2.32,0
14,Male,Hispanic,44,16,24,98.75,71.64,6,8,3.29,1
15,Male,White,27,12,4,44.41,84.41,2,10,3.63,0
16,Male,White,59,19,35,57.04,81.55,4,0,3.81,1
17,Male,Black,57,16,35,54.58,97.75,7,10,2.55,1
18,Female,Hispanic,48,21,29,54.91,38.04,5,14,2.26,0
19,Male,Hispanic,32,13,10,62.72,70.65,1,3,2.5,0
20,Male,White,26,20,4,89.09,78.44,1,3,3.16,1
21,Female,Asian,38,13,20,94.77,92.31,6,4,3.84,1
22,Male,White,28,18,8,52.13,91.19,0,7,3.17,1
23,Male,White,48,19,28,72.58,98.46,2,9,3.84,1
24,Male,Hispanic,36,17,12,78.21,65.85,3,0,3.54,0
25,Female,White,34,18,10,71.31,88.15,0,5,3.2,0
26,Female,White,32,12,13,66.04,59.91,5,8,2.04,0
27,Male,White,47,15,27,51.52,59.56,6,9,2.67,1
28,Female,Hispanic,43,18,20,69.29,47.73,0,7,2.11,0
29,Female,Hispanic,49,12,27,64.07,87.28,6,14,2.64,0
30,Male,Asian,45,12,26,87.73,99.01,4,1,2.12,1
31,Female,Hispanic,50,17,26,85.82,47.94,5,6,2.34,0
32,Male,White,30,15,7,48.04,33.93,7,4,2.82,0
33,Male,Black,25,14,5,45.31,87.09,3,1,3.03,0
34,Non-Binary,White,39,16,18,94.49,73.42,2,10,2.43,1
35,Non-Binary,White,37,20,13,72.13,97.18,5,0,3.47,1
36,Female,Black,54,21,35,91.47,47.66,2,1,3.18,0
37,Male,Other,50,21,29,43.49,34.97,2,10,3.38,0
38,Male,White,31,21,8,71.59,64.47,0,9,3.47,1
39,Female,White,30,14,12,72.37,35.98,4,5,3.45,0
40,Male,White,52,16,30,91.64,48.33,0,10,3.87,1
41,Male,White,49,21,31,45.86,38.82,1,11,2.47,0
42,Female,Other,24,16,6,54.43,45.69,1,7,2.54,0
43,Male,Black,35,20,17,64.39,37.43,2,2,2.19,0
44,Non-Binary,Black,46,21,23,91.95,96.77,4,4,3.19,1
45,Male,Hispanic,36,15,14,96.33,49.5,5,14,2.79,1
46,Female,White,23,12,0,99.56,61.07,2,10,2.99,0
47,Male,Black,45,21,27,97.55,92.9,5,1,2.34,1
48,Female,Black,35,16,11,40.36,77.41,2,11,3.3,0
49,Female,Black,28,12,10,42.86,73.26,7,7,3.24,0
50,Male,Other,57,17,33,48.86,79.39,0,3,2.53,1
51,Non-Binary,Hispanic,45,21,26,60.93,88.02,7,10,2.93,1
52,Female,White,48,21,30,89.8,91.44,2,9,3.79,1
53,Non-Binary,Hispanic,58,18,35,93.56,74.98,2,11,3.55,1
54,Female,White,59,12,35,51.21,92.3,4,5,2.45,0
55,Female,White,51,21,33,77.18,67.48,4,2,3.76,1
56,Non-Binary,White,48,15,25,95.04,49.41,6,10,2.13,1
57,Male,White,36,20,18,67.82,91.61,5,14,2.83,1
58,Male,Black,47,12,26,46.21,67.9,4,7,2.16,0
59,Male,Asian,22,20,4,67.47,93.43,2,7,3.85,1
60,Male,Other,25,19,5,62.55,32.81,4,2,2.08,0
61,Male,Black,50,16,31,74.66,57.83,4,11,2.3,1
62,Male,Black,22,17,0,66.32,96.35,3,8,3.83,0
63,Female,White,43,18,24,41.04,47.48,3,9,3.16,0
64,Male,White,32,15,9,99.64,95.91,1,12,3.59,1
65,Male,Black,31,17,8,72.61,96.77,0,4,2.03,1
66,Female,Black,38,18,18,68.42,91.75,6,9,2.84,0
67,Male,Hispanic,57,17,35,97.28,69.46,6,8,3.97,1
68,Female,White,47,17,23,49.35,75.29,0,6,3.16,0
69,Male,White,42,13,23,51.35,90.87,4,14,3.7,1
70,Non-Binary,Black,34,16,13,88.48,84.31,1,14,3.93,1
71,Female,White,30,14,11,55.65,74.11,1,14,3.37,0
72,Male,White,32,18,14,87.95,98.76,5,9,2.66,1
73,Male,Asian,32,15,12,56.29,78.0,6,2,2.62,0
74,Female,White,27,12,5,41.99,98.28,3,5,2.14,0
75,Female,Asian,22,17,0,71.02,34.02,1,9,2.86,0
76,Female,White,27,17,7,51.8,39.73,2,1,3.83,0
77,Female,White,34,18,16,85.47,61.6,5,5,2.96,0
78,Male,White,43,19,23,78.47,56.94,6,11,3.82,1
79,Male,Hispanic,52,14,28,95.42,84.79,4,4,3.63,1
80,Male,White,43,17,24,86.98,41.24,2,12,3.97,1
81,Female,Hispanic,58,21,35,50.85,98.33,0,2,3.9,1
82,Female,White,48,13,29,88.01,52.05,6,13,3.41,1
83,Male,Hispanic,35,20,13,78.5,60.02,3,14,3.74,1
84,Male,White,26,13,8,80.14,49.23,2,6,3.5,0
85,Male,Asian,57,14,35,89.94,70.56,4,10,3.41,1
86,Male,Black,53,21,34,74.43,34.1,7,3,3.43,0
87,Female,Other,55,13,32,67.96,40.48,2,10,3.44,0
88,Female,White,28,20,5,78.2,82.21,2,13,2.76,0
89,Female,White,31,12,7,57.88,43.06,1,5,2.85,0
90,Female,White,38,16,20,50.96,46.49,3,8,2.59,0
91,Male,Hispanic,51,12,27,77.0,85.51,0,11,2.3,1
92,Female,Black,42,16,24,54.03,36.53,7,13,2.92,0
93,Female,Hispanic,34,19,12,44.79,60.62,4,5,3.8,0
94,Female,White,22,19,1,40.03,31.61,5,3,3.3,0
95,Female,White,22,19,1,76.5,54.28,5,14,2.11,0
96,Female,White,54,13,34,61.73,78.93,4,9,3.62,0
